Year,Division, Granted Subsidies (CLP million) ,Users
2016,Desarrollo Asociativo,"$5,787 ",635
2017,Desarrollo Asociativo,"$8,099 ",1323
2018,Desarrollo Asociativo,"$7,073 ",756
2019,Desarrollo Asociativo,"$7,548 ",906
2020,Desarrollo Asociativo,"$12,885 ",1959
2021,Desarrollo Asociativo,"$15,491 ",1772
2022,Desarrollo Asociativo,"$18,004 ",872
2016,Desarrollo Empresarial,"$15,700 ",12347
2017,Desarrollo Empresarial,"$15,951 ",11971
2018,Desarrollo Empresarial,"$14,340 ",11895
2019,Desarrollo Empresarial,"$21,401 ",19060
2020,Desarrollo Empresarial,"$78,585 ",31555
2021,Desarrollo Empresarial,"$97,504 ",35944
2022,Desarrollo Empresarial,"$52,845 ",15820
 --,Total,"$371,213 ","$146,815 "